FIELD #,FIELD NAME,TYPE,TABLE,MAX LENGTH,DECIMAL,FIELD DEFINITION
141,HEATING TYPE CODE,AlphaNumeric,HEAT,3,,"Type or method of heating (e.g., Hot Water, Heat Pump, Baseboard, Radiant)."
142,TOTAL NUMBER OF PARKING SPACES,Numeric,,5,,This represents the total number of parking spaces or car capacity associated with the garage or parking type.
143,PARKING TYPE CODE,AlphaNumeric,PARKG,3,,"Type of parking found on the parcel. This is typically commercial or communal in nature (e.g., Condos)."
144,POOL INDICATOR,AlphaNumeric,,1,,"This field is populated with a ""Y"" if a Pool is present on the parcel."
145,POOL TYPE CODE,AlphaNumeric,POOL,3,,"Type of pool, construction or pool amenities (e.g., Kidney, Gunite, Vinyl, Jacuzzi, Heated)."
146,BUILDING QUALITY CODE,AlphaNumeric,QUAL,3,,"Type of construction quality of building (e.g., excellent, economical)."
147,ROOF COVER TYPE CODE,AlphaNumeric,RFCO,3,,"Type of roof covering (e.g., Clay Tile, Aluminum, Shake)."
148,ROOF TYPE CODE,AlphaNumeric,RFCO,3,,"Type of roof (e.g., Gambrel, Gable, Flat, Mansard)."
149,BUILDING STYLE TYPE CODE,AlphaNumeric,STYLE,3,,"Type of building style (e.g., Colonial, Cape Code, Bungalow)."
150,TOTAL NUMBER OF UNITS - ALL BUILDINGS,Numeric,,5,,"Number of residential, apartment or business units."
PARCEL ESSENTIALS INTELLIGENCE,,,,,,
151,RAILWAY PROXIMITY,Numeric,,1,,"A binary field indicating the parcel is near a major railway. Detailed metrics like shortest distance, intersection status, number of intersections are available in our Proximity Parcels product."
152,ROADWAY PROXIMITY,Numeric,,1,,"A binary field indicating the parcel is near a major road. Detailed metrics like shortest distance, intersection status, number of intersections are available in our Proximity Parcels product."
153,TRANSMISSION LINE PROXIMITY,Numeric,,1,,"A binary field indicating the parcel is near a transmission line. Detailed metrics like shortest distance, intersection status, number of intersections are available in our Proximity Parcels product."
154,WETLAND PROXIMITY,Numeric,,1,,"A binary field indicating the parcel is near a wetland. Detailed metrics like shortest distance, intersection status, area overlap are available in our Proximity Parcels product."
155,PROTECTED AREA PROXIMITY,Numeric,,1,,"A binary field indicating the parcel is near a protected area. Detailed metrics like shortest distance, intersection status, area overlap are available in our Proximity Parcels product."
156,CROP TYPE 1,AlphaNumeric,,27,,"The most predominant crop type covering the parcel, as classified by the USDA Crop Land Data Layer. Detailed metrics for top 5 crop types and their percentages are available in our Parcel Terrain product. "
157,FLOOD ZONE 1,AlphaNumeric,,17,,FEMA flood zone designation boundary covering largest portion of the parcel. Detailed metrics for top 5 flood zone types and their sub-types are available in our Parcel Terrain product. 
158,CENSUS TRACT ID,AlphaNumeric,,6,,"2020 census tract, a small statistical subdivision of a county defined by the U.S. Census Bureau."
159,CENSUS  BLOCKGROUP ID,AlphaNumeric,,1,,"2020 census block group, a cluster of census blocks within a tract that shares demographic characteristics."
160,SCHOOL DISTRICT,AlphaNumeric,,69,,U.S. Census provided unified school district in which the center of the parcel is located
161,ADDRESS COUNT,Numeric,,5,,Count of unique addresses associated with the property. Detailed address information is available within the Address Connect product
162,PRIMARY BUSINESS USE INDICATOR,AlphaNumeric,,1,,"The Primary Business Use Indicator is a proprietary, rules-based attribute designed to distinguish between addresses that are dedicated business premises (e.g., retail storefronts, offices, manufacturing facilities) and those that are not primarily used for business (e.g., home-based businesses). Possible values are T/F for true and false. True represents the address is a dedicated business premises, and false indicates the address is not primarily used for business."
163,COMPOSITE RISK SCORE,Numeric,,3,,"Composite risk value from 1 to 100, based on the combined average annual loss rates for multiple perils, relative to all residential properties nationwide.  The included perils are: earthquake, wildfire, inland flood, severe convective storms, winter storms, storm surge and hurricane wind.  A value of 1 indicates perils are modeled but there is no risk. A value of NULL indicates insufficient data to determine the perils for this property."
164,EVENT RECORD DATE,AlphaNumeric,,10,,Date of the parcel lineage / change event.
ACTION,,,,,,
165,RECORD ACTION INDICATOR,AlphaNumeric,,1,,"A CoreLogic system generated indicator used to advise customers how to process records contained in delta files.  Values are: A = ADD, Customer will do an UPSERT, U = UPDATE, Customer will do an UPSERT, D = DELETE, Customer will do a DELETE, BLANK = No Action Required.  BLANK is used for Initial Delivery Files or Refresh Files."
